VideoName,Frame,radar_range,radar_angle,cam_tick,rad_tick,lateral_dist,TargetID,Data_Confidence
20180101_1511_50400,144,80.4,0.5,5810335,5810335,0.701613442101333,35,95.0
20180101_1511_50400,145,36.35,6.0,5810366,5810335,3.799609575201947,30,48.0
20180101_1511_50400,145,80.4,0.5,5810366,5810335,0.701613442101333,35,95.0
20180101_1511_50400,146,35.95,5.900000000000006,5810413,5810382,3.6953916346879057,30,74.0
20180101_1511_50400,146,79.7,0.0,5810413,5810382,0.0,35,98.0
20180101_1511_50400,147,114.9,-2.4000000000000057,5810444,5810460,-4.811512531457501,14,50.0
20180101_1511_50400,147,78.80000000000001,0.0,5810444,5810460,0.0,35,98.0
20180101_1511_50400,147,120.85000000000001,-2.299999999999997,5810444,5810460,-4.849927044873443,40,75.0
20180101_1511_50400,148,114.9,-2.4000000000000057,5810475,5810460,-4.811512531457501,14,50.0
20180101_1511_50400,148,78.80000000000001,0.0,5810475,5810460,0.0,35,98.0
20180101_1511_50400,148,120.85000000000001,-2.299999999999997,5810475,5810460,-4.849927044873443,40,75.0
20180101_1511_50400,149,78.15,0.0,5810506,5810538,0.0,35,93.0
20180101_1511_50400,150,78.15,0.0,5810538,5810538,0.0,35,93.0
20180101_1511_50400,151,78.15,0.0,5810569,5810538,0.0,35,93.0
20180101_1511_50400,152,77.25,-0.09999999999999432,5810600,5810616,-0.13482661396574488,35,88.0
20180101_1511_50400,153,77.25,-0.09999999999999432,5810631,5810616,-0.13482661396574488,35,88.0
20180101_1511_50400,154,76.55,-0.09999999999999432,5810678,5810694,-0.1336048841304566,35,83.0
20180101_1511_50400,155,76.55,-0.09999999999999432,5810709,5810694,-0.1336048841304566,35,83.0
20180101_1511_50400,156,75.65,-0.09999999999999432,5810772,5810787,-0.13203408862794308,35,78.0
20180101_1511_50400,157,75.65,-0.09999999999999432,5810803,5810787,-0.13203408862794308,35,78.0
20180101_1511_50400,157,73.75,2.0999999999999943,5810803,5810834,2.7024734710299345,26,74.0
20180101_1511_50400,158,73.75,2.0999999999999943,5810834,5810834,2.7024734710299345,26,74.0
20180101_1511_50400,158,74.95,-0.09999999999999432,5810834,5810865,-0.13081235879265476,35,89.0
20180101_1511_50400,159,72.8,1.9000000000000057,5810928,5810943,2.4136969455265818,26,74.0
20180101_1511_50400,159,74.0,-0.09999999999999432,5810928,5810943,-0.1291542968733349,35,89.0
20180101_1511_50400,160,72.8,1.9000000000000057,5810959,5810943,2.4136969455265818,26,74.0
20180101_1511_50400,160,74.0,-0.09999999999999432,5810959,5810943,-0.1291542968733349,35,89.0
20180101_1511_50400,161,72.15,0.4000000000000057,5810990,5811006,0.5036979219059124,26,87.0
20180101_1511_50400,161,73.35000000000001,-0.20000000000000284,5810990,5811006,-0.2560392769391229,35,95.0
